code	description	price	
13456	"ALICATE P.CHATA CROM. 6"""	$ 9.022,96	
13457	"ALICATE P.CHATA CROM. 8"""	$ 12.355,30	
700236	ALTA TEMPERATURA ALUMINIO x 1 l.	$ 23.732,35	
700233	ALTA TEMPERATURA ALUMINIO x 250 cc.	$ 9.161,29	
700234	ALTA TEMPERATURA ALUMINIO x 4 l.	$ 86.347,63	
700231	ALTA TEMPERATURA ALUMINIO x 500 cc.	$ 14.912,48	
700227	ALTA TEMPERATURA BLANCO x 1l.	$ 27.187,22	
700229	ALTA TEMPERATURA BLANCO x 250 cc.	$ 10.182,99	
700226	ALTA TEMPERATURA BLANCO x 4 l.	$ 103.142,22	
700228	ALTA TEMPERATURA BLANCO x 500 cc.	$ 16.528,49	
700237	ALTA TEMPERATURA NEGRO x 1 l.	$ 21.970,81	
700232	ALTA TEMPERATURA NEGRO x 250 cc.	$ 8.816,82	
700238	ALTA TEMPERATURA NEGRO x 4 l.	$ 83.956,69	
700230	ALTA TEMPERATURA NEGRO x 500 cc.	$ 13.687,23	
301	ALUMBRE PAQ. x 400 gr.	$ 831,89	
302	ALUMBRE PAQ. x 800 gr.	$ 1.504,84	
303	ALUMBRE x Kg. ( Bolsa x 25 Y 50 Kg.	$ 1.613,08	
200562	Aluminio x 1 l.	$ 21.593,72	
200561	Aluminio x 1/2 l.	$ 13.815,83	
200560	Aluminio x 1/4 l.	$ 8.804,05	
200564	Aluminio x 20 l.	$ 366.557,95	
200563	Aluminio x 4 l.	$ 80.723,64	
200112	Amarillo mediano x 1 l.	$ 16.938,88	
200111	Amarillo mediano x 1/2 l.	$ 10.737,37	
200110	Amarillo mediano x 1/4 l.	$ 6.974,83	
200114	Amarillo mediano x 20 l.	$ 287.559,42	
200113	Amarillo mediano x 4 l.	$ 63.353,49	
200107	Amarillo x 1 l.	$ 16.938,88	
200106	Amarillo x 1/2 l.	$ 10.737,37	
200105	Amarillo x 1/4 l.	$ 6.974,83	
200109	Amarillo x 20 l.	$ 287.559,42	
200108	Amarillo x 4 l.	$ 63.353,49	
200652	Antióxido crom.x 1 l. rojo/gris/neg	$ 14.589,16	
200651	Antióxido crom.x 1/2 l. rojo/gris/n	$ 8.878,41	
200650	Antióxido crom.x 1/4 l. rojo/gris/n	$ 6.097,39	
200654	Antióxido crom.x 20 l. rojo/gris/ne	$ 228.935,13	
200653	Antióxido crom.x 4 l. rojo/gris/neg	$ 50.548,95	
13602	APLICADOR SELLADOR CARTUCHO ECO. AZUL	$ 6.340,34	
13601	APLICADOR SELLADOR CARTUCHO MANGO NARANJA c/GOMA	$ 3.208,32	
130020	"ARANDELA CHAPISTA  GALV.(A)  3/16"""	$ 173,69	
13652	"ARANDELA GROWER  (B)  5/32"" x 2500"	$ 2.418,02	
130019	"ARANDELA PLANA GALV.(d)7/32"" el Kg. (264)"	$ 805,96	
13703	ARCO SIERRA JUNIOR C/PLAST. C/HOJA económico	$ 2.135,11	
13707	ARCO SIERRA m/plást.económ.	$ 6.524,29	
400113	ARO TOALLERO pack x 1 unidad ( 7012)	$ 2.991,57	
4390	ASIENTO P/ INODORO blanco	$ 10.943,47	
4392	ASIENTO P/ INODORO colores	$ 11.818,91	
300722	AUTOKIT resina x 190 cc.	$ 14.905,35	
800610	AZADA 2,5 L PB	$ 36.417,28	
800611	AZADA 3 L PB	$ 37.687,52	
800612	AZADA ALBAÑIL con ojo PB	$ 10.109,87	
1012502	AZADA DE CARPIR N° 2 PB	$ 9.308,15	
551	AZUFRE VENT. PAQ. x 400 gr.	$ 4.280,94	
552	AZUFRE VENT. PAQ. x 800 gr.	$ 8.088,72	
200217	Azul traful x 1 l.	$ 16.195,29	
200216	Azul traful x 1/2 l.	$ 9.919,43	
200215	Azul traful x 1/4 l.	$ 6.722,00	
200219	Azul Traful x 20 l.	$ 259.318,03	
200218	Azul traful x 4 l.	$ 58.728,39	
200212	Azul x 1 l.	$ 16.195,29	
200211	Azul x 1/2 l.	$ 9.919,43	
200210	Azul x 1/4 l.	$ 6.722,00	
200214	Azul x 20 l.	$ 259.318,03	
200213	Azul x 4 l.	$ 58.728,39	
200207	Azulejo x 1 l.	$ 16.195,29	
200206	Azulejo x 1/2 l.	$ 9.919,43	
200205	Azulejo x 1/4 l.	$ 6.722,00	
200209	Azulejo x 20 l.	$ 259.318,03	
200208	Azulejo x 4 l.	$ 58.728,39	
12500	BALDE NEGRO DE PLASTICO albañil	$ 2.205,17	
11104	BALDE OVAL C/ ESCURRIDOR p/ mopa 13	$ 11.620,20	
2970	BALINES 4 1/2 cajita x 100	$ 1.276,04	
2971	BALINES 5 1/2 cajita x 100	$ 1.659,07	
900023	BARNIZ ESM SINT x 1 LT TRANSPARENTE	$ 1.228,78	
900021	BARNIZ ESM SINT x 250 cc TRANSPARENTE	$ 486,84	
900022	BARNIZ ESM SINT x 500 cc TRANSPARENTE	$ 756,90	
200802	Barniz marino x 1 l.	$ 11.956,86	
200801	Barniz marino x 1/2 l.	$ 7.777,91	
200800	Barniz marino x 1/4 l.	$ 5.338,95	
200804	Barniz marino x 20 l.	$ 186.476,39	
200803	Barniz marino x 4 l.	$ 41.967,97	
9140	BARRAL MAD.TEÑIDO s/argol 22 x 1,40	$ 6.832,95	
9141	BARRAL MAD.TEÑIDO s/argol 22 x 1,60	$ 7.185,33	
9142	BARRAL MAD.TEÑIDO s/argol 22 x 1,80	$ 7.539,34	
9143	BARRAL MAD.TEÑIDO s/argol 22 x 2,00	$ 7.893,36	
9144	BARRAL MAD.TEÑIDO s/argol 22 x 2,20	$ 8.247,38	
9145	BARRAL MAD.TEÑIDO s/argol 22 x 2,40	$ 8.606,34	
9150	BARRAL MAD.TEÑIDO s/argol 35 x 1,40	$ 12.709,41	
9151	BARRAL MAD.TEÑIDO s/argol 35 x 1,60	$ 13.438,70	
9152	BARRAL MAD.TEÑIDO s/argol 35 x 1,80	$ 14.172,80	
9153	BARRAL MAD.TEÑIDO s/argol 35 x 2,00	$ 14.902,10	
9154	BARRAL MAD.TEÑIDO s/argol 35 x 2,20	$ 15.645,77	
9155	BARRAL MAD.TEÑIDO s/argol 35 x 2,40	$ 16.370,30	
400115	BARRAL TOALLERO por 1 unidad ( 7014)	$ 4.124,69	
13015	BARREHOJA ALAMBRE C/PLASTICO	$ 9.632,11	
13003	BARREHOJA EXTENSIBLE PULIDO C/MANGO	$ 17.345,93	
170120	BARREHOJA PLASTICO 25 dientes	$ 1.146,57	
2960	BARRITAS DE SILICONA x paquete	$ 16.257,11	
200222	Beige x 1 l.	$ 14.276,83	
200221	Beige x 1/2 l.	$ 9.220,46	
200220	Beige x 1/4 l.	$ 6.261,00	
200224	Beige x 20 l.	$ 237.575,59	
200223	Beige x 4 l.	$ 51.827,92	
200122	Bermellón x 1 l.	$ 16.938,88	
200121	Bermellón x 1/2 l.	$ 10.737,37	
200120	Bermellón x 1/4 l.	$ 6.974,83	
200124	Bermellón x 20 l.	$ 287.559,42	
200123	Bermellón x 4 l.	$ 63.353,49	
9001	BIDONES x  5 LTS. pet	$ 1.255,31	
13766	"BISAGRA ""5005"" BCEADA.  19 mm 3/4"""	$ 163,50	
13751	"BISAGRA ""5005"" BCEADA.  25 mm 1"""	$ 190,29	
13752	"BISAGRA ""5005"" BCEADA.  38 mm 1 1/2"	$ 243,10	
13753	"BISAGRA ""5005"" BCEADA.  50 mm 2"""	$ 403,65	
13754	"BISAGRA ""5005"" BCEADA.  63 mm 2 1/2"	$ 523,67	
13755	"BISAGRA ""5005"" BCEADA.  76 mm 3"""	$ 668,01	
13763	"BISAGRA ""5005"" BCEADA.  88 mm 3 1/2"	$ 939,24	
13764	"BISAGRA ""5005"" BCEADA. 101 mm 4"""	$ 1.435,15	
13765	"BISAGRA ""5005"" HIERRO  19 mm 3/4"""	$ 108,18	
13756	"BISAGRA ""5005"" HIERRO  25 mm 1"""	$ 112,45	
13757	"BISAGRA ""5005"" HIERRO  38 mm 1 1/2"	$ 134,08	
13758	"BISAGRA ""5005"" HIERRO  50 mm 2"""	$ 231,93	
13759	"BISAGRA ""5005"" HIERRO  63 mm 2 1/2"	$ 286,16	
13760	"BISAGRA ""5005"" HIERRO  76 mm 3"""	$ 379,70	
13761	"BISAGRA ""5005"" HIERRO  88 mm 3 1/2"	$ 539,90	
13762	"BISAGRA ""5005"" HIERRO 101 mm 4"""	$ 798,86	
13771	"BISAGRA ""T""    3"""	$ 917,35	
13772	"BISAGRA ""T""    4"""	$ 1.039,70	
13773	"BISAGRA ""T""    5"""	$ 1.354,80	
13774	"BISAGRA ""T""    6"""	$ 1.497,82	
13775	"BISAGRA ""T""    8"""	$ 2.207,35	
550310	"BISAGRA ""T""  10"""	$ 2.372,75	
13785	BISAGRA A MUN.PUL.SOLD.100 x 75 C/agujero FB0061	$ 1.859,29	
13793	BISAGRA F 0010 CARPINTERO 80-20 x 1,5 ficha rev.	$ 719,65	
13791	BISAGRA F 0020 CARPINTERO 2 x 3 x 1,5 ficha rev.	$ 719,65	
13792	BISAGRA F 0021 CARPINTERO 2 x 5 x 1,5 ficha rev.	$ 750,66	
13781	"BISAGRA FB 2060/0060 T/MUN. 3""x3 s/ag.H.Ala ancha"	$ 1.571,76	
13782	"BISAGRA FB 2061/0061 T/MUN. 4""x3 s/ag.H.Ala ancha"	$ 1.859,29	
13786	BISAGRA FB 2062 T/MUN.101x88 H.Ala corta c/u	$ 2.252,24	
13783	BISAGRA FB 2066 T/MUN.101x44 H.Ala corta c/u	$ 1.485,27	
13784	BISAGRA FB 2067 T/MUN. 75x44 H. Ala corta c/u	$ 1.288,11	
13812	BISAGRA MOSQUERA GALVANIZADA - h°zincado	$ 1.370,82	
13825	BISAGRA OB 2022 SOLD.  60x8 REV.C//TAP. A/C P/HERR	$ 617,46	
13826	BISAGRA OB 2023 SOLD.  80x8 REV.C/TAP. A/C P/HERR.	$ 704,74	
13824	BISAGRA OB 2024 SOLD. 100x8 REV.C/TAP. A/C P/HERR.	$ 1.220,76	
13827	BISAGRA OB 2025 SOLD. 60x33 REV.C/TAP. A/C P/HERR.	$ 767,52	
13822	BISAGRA OB 2026 SOLD. 80x33 REV.C/TAP. A/C P/HERR.	$ 1.224,20	
13823	BISAGRA OB 2027 SOLD 100x33 REV.C/TAP. A/C P/HERR.	$ 1.333,29	
13831	BISAGRA P 0010 POMELA M.M. 110x60 D/I	$ 1.384,96	
13803	BISAGRA P 0010 POMELA MIXTA 110x60 D/I	$ 1.288,11	
13832	BISAGRA P 0012 POMELA M.M. 140x70 REF. D/I	$ 1.832,84	
13833	BISAGRA P 1012 POMELA MIXTA 140x70 REF. D/I	$ 1.512,82	
200132	Blanco mate x 1 l.	$ 17.816,31	
200131	Blanco mate x 1/2 l.	$ 11.183,53	
200130	Blanco mate x 1/4 l.	$ 7.644,05	
200134	Blanco mate x 20 l.	$ 287.485,06	
200133	Blanco mate x 4 l.	$ 62.877,60	
200502	Blanco satinado x 1 l.	$ 16.700,93	
200501	Blanco satinado x 1/2 l.	$ 10.529,18	
200504	Blanco satinado x 20 l.	$ 277.595,37	
200503	Blanco satinado x 4 l.	$ 61.271,44	
200127	Blanco x 1 l.	$ 16.938,88	
200126	Blanco x 1/2 l.	$ 10.737,37	
200125	Blanco x 1/4 l.	$ 6.974,83	
200129	Blanco x 20 l.	$ 287.559,42	
200128	Blanco x 4 l.	$ 63.353,49	
13912	"BOCALLAVE 1/2""    18 mm."	$ 908,38	
13917	"BOCALLAVE 1/2""    23 mm."	$ 769,19	
13921	"BOCALLAVE 1/2""    27 / 29 mm."	$ 1.296,64	
13952	"BOCALLAVE 1/2""   x (b)  3/8"""	$ 417,56	
13953	"BOCALLAVE 1/2""   x (c)  7/16"""	$ 410,23	
13955	"BOCALLAVE 1/2""   x (e)  9/16"" 11/16"""	$ 410,23	
13958	"BOCALLAVE 1/2""   x (h)  21/32"""	$ 446,86	
13960	"BOCALLAVE 1/2""   x (j)  3/4"""	$ 498,15	
13961	"BOCALLAVE 1/2""   x (k)  25/32"""	$ 527,45	
13962	"BOCALLAVE 1/2""   x (l)  13/16"""	$ 534,78	
13963	"BOCALLAVE 1/2""   x (m)  7/8"""	$ 717,92	
13964	"BOCALLAVE 1/2""   x (n)  15/16"""	$ 783,84	
13966	"BOCALLAVE 1/2""   x (p)  1 """	$ 937,68	
13968	"BOCALLAVE 1/2""   x (r)  1 1/8"""	$ 1.296,64	
13969	"BOCALLAVE 1/2""   x (s)  1 1/4"""	$ 1.296,64	
110510	BOCALLAVE BRONCE P/ PICAPORTE c/u.	$ 146,52	
14010	"BOCALLAVE PROLONGACION 10"""	$ 1.048,00	
700032	BOLSAS CONSORCIO paq.x 10 un. 60 x 90	$ 1.062,19	
700086	BOLSAS RESIDUOS paq.x 20 un. 50 x 60	$ 1.062,19	
852	BORAX PAQUETE x 1 Kg.	$ 4.217,51	
851	BORAX PAQUETE x 200 gr.	$ 1.082,13	
9002	BOTELLAS PLASTICAS x 1 LT.- 1/2 lt pet	$ 444,19	
4222	BRACITO ZAMAC x 100 UNID.	$ 42.394,09	
4223	BRACITO ZAMAC x 25 UNIDADES	$ 10.598,85	
3514	BRILLA PISO A GRANEL s/e el Lt.	$ 1.854,00	
3513	BRILLA PISO BIDON x 5 Lts.	$ 10.279,40	
3511	BRILLA PISO ENV.P.V.C. x 500 cc.	$ 1.545,00	
3512	BRILLA PISO ENV.P.V.C. x 950 cc.	$ 2.369,00	
14154	BULON C.H.GALV. ('d') 5/16 x 7/8 x	$ 1.025,60	
14160	BULON C.H.GALV. ('j') 5/16 x 2 1/4	$ 2.043,86	
14162	BULON C.H.GALV. ('l') 5/16 x 2 3/4	$ 1.208,74	
14164	BULON C.H.GALV. ('n') 5/16 x 3 1/4	$ 1.355,26	
14301	BULON C.H.GALV. ('s') 1/2 x 1 x 50	$ 1.575,03	
14303	BULON C.H.GALV. ('u') 1/2 x 1 1/2 x	$ 1.970,61	
14304	BULON C.H.GALV. ('v') 1/2 x 2 x 50	$ 2.593,28	
14351	BUSCAPOLO 140 mm	$ 1.375,41	
14352	BUSCAPOLO 190 mm	$ 1.868,56	
4021	CABLE ACERO REV.p/ROPA x 100 mt.	$ 52.387,38	
100005	CABO DE AZADA MENDOCINA x 1,35 (5 x 17)	$ 1.153,70	
100035	CABO DE AZADA MENDOCINA x 1,50 (5 x 17)	$ 1.128,22	
100001	CABO DE HACHA x 0,90	$ 3.436,78	
100002	CABO DE HACHITA x 0,35 Vizcaíno	$ 156,71	
100003	CABO DE PICO x 0,90	$ 1.067,17	
100019	CABO MARTILLO GALPONERO	$ 898,85	
100015	CABO MARTILLO x 0,25	$ 559,84	
100016	CABO MARTILLO x 0,30	$ 604,63	
100017	CABO MARTILLO x 0,35	$ 643,80	
100018	CABO MARTILLO x 0,40	$ 722,19	
100026	CABO MARTILLO x 0,45	$ 912,53	
100011	CABO MAZA x 0,25	$ 587,83	
100012	CABO MAZA x 0,30	$ 783,78	
100013	CABO MAZA x 0,35	$ 839,75	
100014	CABO MAZA x 0,40	$ 979,71	
100027	CABO MAZA x 0,45	$ 1.203,65	
100028	CABO MAZA x 0,60	$ 1.343,60	
100025	CABO MAZA x 0,90 DE 10 Kg.	$ 2.777,41	
100024	CABO MAZA x 0,90 DE 5 a 7 Kg.	$ 2.777,41	
100033	CABO P/ESCOBILLON ROSCADO MET.x 1,3 mt	$ 819,15	
100032	CABO P/ESCOBILLON ROSCADO x 1,30  mt madera	$ 692,60	
100006	CABO PALA m/metálico x 0,70	$ 2.286,85	
100009	CABO PALA m/plástico x 0,70	$ 2.223,33	
100007	CABO PALA p/corazón x 1,20 mt	$ 3.250,16	
9557	CADENA NAC. de HIERRO 25 mm Kg/mt (0.117) aprox	$ 35.176,38	
9550	CADENA NAC. de HIERRO 30 mm. Kg/mt (.164) aprox	$ 27.638,96	
9551	CADENA NAC. de HIERRO 35 mm Kg/mt (0.226) aprox	$ 22.615,11	
9552	CADENA NAC. de HIERRO 40 mm. Kg/mt (0.320) aprox	$ 20.902,90	
9553	CADENA NAC. de HIERRO 45 mm Kg/mt (0.370) aprox	$ 18.051,32	
9554	CADENA NAC. de HIERRO 50,55,60mm. Kg/mt (0.570) ap	$ 15.538,03	
9555	CADENA NAC. de HIERRO 65,70,80mm. Kg/mt (0.910) ap	$ 15.538,03	
9556	CADENA NAC. de HIERRO 90,100,110,12 Kg/mt (1.830)	$ 15.538,03	
9540	CADENA NUDO Nº 15	$ 45.748,06	
9541	CADENA NUDO Nº 17	$ 41.032,18	
9542	CADENA NUDO Nº 18	$ 39.873,29	
14401	CADENA PASEO PERRO CROM.2   mm	$ 1.963,83	
14402	CADENA PASEO PERRO CROM.2,5 mm	$ 2.375,53	
14403	CADENA PASEO PERRO CROM.3   mm	$ 2.625,97	
14404	CADENA PASEO PERRO CROM.3,5   mm	$ 3.086,39	
14405	CADENA PASEO PERRO CROM.4   mm	$ 3.505,66	
14457	"CADENA PERRO Armada 15 15x220mt ""BRACO"""	$ 3.762,18	
14458	"CADENA PERRO Armada 17 17x220mt ""BRACO"""	$ 3.762,18	
14551	CADENA SEGURIDAD cromado Braco	$ 4.234,93	
1052	CAL VIVA BOLSA x 25 Kg.	$ 7.585,13	
1051	CAL VIVA PAQ. x 1 Kg.	$ 727,77	
600027	CALENTADOR ENLOZADO	$ 13.188,67	
15106	CALIBRE PLASTICO	$ 1.709,93	
5596	CAMISA P/LAMPARA sobre x 12 unidades	$ 3.744,94	
13255	"CANILLA 1/2  LIV. ""ITALY"""	$ 4.935,61	
13257	"CANILLA 3/4  LIV. ""ITALY"""	$ 7.263,21	
1001	CAÑAMO PEINADO BOL.20 gr.aprox.	$ 1.316,91	
1005	CAÑAMO PEINADO BOL.50 gr.aprox.	$ 2.604,60	
1002	CAÑAMO PEINADO x 100 gr. aprox.	$ 4.899,63	
1003	CAÑAMO PEINADO x 200 gr. aprox.	$ 9.263,10	
1004	CAÑAMO PEINADO x Kg.	$ 42.216,04	
11511	CAÑO ALTA PRESION  6 el mt.(x 50 o 25 mts.)	$ 881,50	
11512	CAÑO ALTA PRESION  8 el mt.(x 50 o 25 mts.)	$ 1.080,23	
11513	CAÑO ALTA PRESION 10 el mt.	$ 1.496,06	
11514	CAÑO ALTA PRESION 13 el mt.	$ 1.960,07	
6525	CAÑO CRISTAL   5 x 7	$ 11.317,49	
6513	CAÑO CRISTAL   5 x 8	$ 17.915,26	
6518	CAÑO CRISTAL   9 x 12	$ 23.023,39	
6522	CAÑO CRISTAL 12 x 16	$ 45.309,32	
6528	CAÑO CRISTAL 16 x 20	$ 59.001,42	
6555	CAÑO CRISTAL P/HIDROC. 8 x 12	$ 35.134,99	
6554	CAÑO CRISTAL P/HIDROC. 9 x 12	$ 27.885,30	
4386	CAÑO CURVO de 0,75 x 0,75 mts. Pulido	$ 9.604,50	
4388	CAÑO CURVO de 0,75 x 1,75 mts. Pulido	$ 15.631,57	
4387	CAÑO CURVO de 0,90 x 0,90 mts. Pulido	$ 11.240,20	
4389	CAÑO CURVO de 0,90x0,90x0,90 mts.Pulido	$ 16.548,41	
4391	CAÑO CURVO de 1,00 x 1,00 mts. Pulido	$ 12.710,52	
4361	CAÑO EXTEN.HASTA 1,30 mts. Pulido	$ 7.262,96	
4364	CAÑO EXTEN.HASTA 2,00 mts. Color	$ 10.025,16	
4362	CAÑO EXTEN.HASTA 2,00 mts. Pulido	$ 7.811,53	
4363	CAÑO EXTEN.HASTA 2,20 mts. Pulido	$ 8.231,19	
11519	CAÑO RIEGO MTLM 1/2 el mt.verde (25 y 50 mts) 5 ba	$ 1.169,64	
11522	CAÑO RIEGO T.LIV.1/2 el mt. ( 15-20-25 mts)	$ 453,88	
11520	CAÑO RIEGO T.REF.1/2 el mt. ( 25 y 50 mts)	$ 584,82	
11525	CAÑO RIEGO T.REF.3/4 el mt. (  25 y 50 mts)	$ 1.039,18	
501	CARTON EN PLANCHA 1,15 mt.x 0,97 mt aprox.	$ 34.943,38	
502	CARTON EN PLANCHA x 2 u. p/cocina 0,56mt x 0,85mt	$ 34.943,38	
200227	Castaño x 1 l.	$ 14.276,83	
200226	Castaño x 1/2 l.	$ 9.220,46	
200225	Castaño x 1/4 l.	$ 6.261,00	
200229	Castaño x 20 l.	$ 237.575,59	
200228	Castaño x 4 l.	$ 51.827,92	
200242	Cedro x 1 l.	$ 14.276,83	
200241	Cedro x 1/2 l.	$ 9.220,46	
200240	Cedro x 1/4 l.	$ 6.261,00	
200244	Cedro x 20 l.	$ 237.575,59	
200243	Cedro x 4 l.	$ 51.827,92	
200232	Celeste x 1 l.	$ 16.195,29	
200231	Celeste x 1/2 l.	$ 9.919,43	
200230	Celeste x 1/4 l.	$ 6.722,00	
200234	Celeste x 20 l.	$ 259.318,03	
200233	Celeste x 4 l.	$ 58.728,39	
903	CEMENTO BLANCO bolsa x 25 kg	$ 73.047,06	
901	CEMENTO BLANCO PAQ. x 1 Kg.	$ 3.335,54	
902	CEMENTO BLANCO PAQ. x 2 Kg.	$ 6.671,11	
951	CEMENTO COMUN PAQ. x 1 Kg.	$ 585,04	
952	CEMENTO COMUN PAQ. x 2 Kg.	$ 1.170,08	
1154	CEMENTO DE CONT.FORTEX  pomo x 50cc	$ 2.692,23	
1159	CEMENTO DE CONT.FORTEX  x  125 cc.	$ 3.792,61	
1155	CEMENTO DE CONT.FORTEX  x  250 cc.	$ 5.311,05	
1156	CEMENTO DE CONT.FORTEX  x  500 cc.	$ 8.608,37	
1157	CEMENTO DE CONT.FORTEX  x 1 Kg.	$ 15.321,29	
1158	CEMENTO DE CONT.FORTEX  x 4 Kg.	$ 57.814,29	
1201	CENIZA DE JUME PAQ. x 800 gr.	$ 2.323,94	
1202	CENIZA DE JUME x Kg. (Bolsa)	$ 2.262,78	
